Category,Path,Location,What it is,Recommendation,Remove,Keep as is,Ready to change,Notes,
Standalone placeholder page,classes/workinprogress.html,whole file,"Generic ""Work in Progress - this page is currently being built"" landing page",Review,,,Update style to newier prefrencs,"Only linked from s3-physics.html (Space, Nuclear Radiation tiles). Decide: build the real pages or keep this stub.",
Standalone placeholder page,classes/materials-unavailable.html,whole file,"""Materials Temporarily Unavailable / temporarily offline while everything is checked"" landing page",Review,,Keep,,"Linked from 8+ places as the destination for the offline ""Mr Stewart's Materials"" tiles and electronics video links. Central to the whole offline-materials story.",
Link to offline page,index.html,L480-484,"""Mr Stewart's Materials"" card -> materials-unavailable.html (""Temporarily offline for checks - back soon"")",Review,,,,Home page tile pointing at the offline materials page.,
Link to offline page,classes/physics.html,L431-435,"Materials card -> materials-unavailable.html (""Temporarily offline for checks"")",Review,,,,Physics hub.,
Link to offline page,classes/adv-higher-physics.html,L562-566,"Materials quick-link -> materials-unavailable.html (""Temporarily offline for checks - back soon"")",Review,,,,Advanced Higher hub.,
Link to offline page,classes/higher-physics.html,L161-167,"Materials tile -> materials-unavailable.html (""Temporarily offline for checks - back soon"")",Review,,,,Higher hub.,
Link to offline page,classes/s3-n5-physics.html,L559-562,"Materials tile -> materials-unavailable.html (""Temporarily offline for checks"")",Review,,,,S3/N5 hub.,
Link to offline page,classes/s3-n5-physics.html,L617-619,"Mark Scheme Booklets tile -> materials-unavailable.html (badge ""Coming soon"")",Review,,,,Different intent (coming-soon content, not offline) reusing the same destination.
Link to offline page,classes/s3-physics.html,L111-114,"Materials tile -> materials-unavailable.html (""Temporarily offline for checks"")",Review,,,,S3 Physics hub.,
Link to offline page,classes/s3-physics/electricity1.html,L387,"""Mr Stewart's Materials"" list link -> materials-unavailable.html",Review,,,,Inline resource list link.,
Link to offline page,classes/electronics/practical-activity-guide.html,#videos,7 video links all -> materials-unavailable.html (pillar drill board testing),Expected,,,,Placeholders by design: the videos are not filmed yet and the page says so. Swap each href when a clip is ready.,
Link to WIP stub,classes/s3-physics.html,L51-55,"""Space"" tile -> workinprogress.html (badge ""Coming soon"")",Ready to change,,,,Replace href with real Space topic page once built.,
Link to WIP stub,classes/s3-physics.html,L85-89,"""Nuclear Radiation"" tile -> workinprogress.html (badge ""Coming soon"")",Ready to change,,,,Replace href with real Nuclear Radiation topic page once built.,
WIP notice on live page,classes/higher/electricity/capacitors.html,L325-327,"""Work in progress - this page is still being built and has known issues"" notice banner",Review,,,,Page is live and linked; banner is a caveat. Remove banner when content finalised.,
WIP notice on live page,classes/higher/electricity/monitoring-measuring-ac.html,L319-321,"""Work in progress"" notice banner",Review,,,,Remove banner when content finalised.,
WIP notice on live page,classes/higher/electricity/semiconductors-pn-junctions.html,L277-279,"""Work in progress"" notice banner",Review,,,,Remove banner when content finalised.,
Coming-soon placeholder,classes/higher-physics.html,L130-148,"13 inert <span class=""topic-link soon""> topics (Dynamic Universe + Particles & Waves)",Keep as is,,,,Intentional per design system (inert spans until built). Flip to <a> when each topic page ships.,
Coming-soon placeholder,classes/engineering-science.html,L21,"""Higher Engineering Science - Coming Soon"" inert card",Keep as is,,,,Level not yet offered; intentional disabled card.,
Coming-soon placeholder,classes/n5-engineering-science.html,L76-101,"6x <span class=""cta soon""> ""Coming soon"" topic buttons",Keep as is,,,,Topic hub buttons awaiting pages.,
Coming-soon placeholder,classes/n5-engineering-assignment-prep.html,L21,"6 ""Coming Soon"" detail sections + cta soon href=""#"" resource pack",Review,,,,Whole page is placeholder content. Decide build vs. hide from nav.,
Coming-soon placeholder,classes/s3-engineering/computer-control.html,L21,"Intro ""filled... soon"" + cta soon href=""#"" + 4 ""Coming Soon"" detail sections",Review,,,,Stub topic page.,
Coming-soon placeholder,classes/s3-engineering/electronics.html,L21,"Intro ""filled... soon"" + cta soon href=""#"" + 4 ""Coming Soon"" detail sections",Review,,,,Stub topic page.,
Coming-soon placeholder,classes/s3-engineering/logic.html,L21,"Intro ""filled... soon"" + cta soon href=""#"" + 4 ""Coming Soon"" detail sections",Review,,,,Stub topic page.,
Coming-soon placeholder,classes/s3-engineering/mechanisms.html,L21,"Intro ""filled... soon"" + cta soon href=""#"" + 4 ""Coming Soon"" detail sections",Review,,,,Stub topic page.,
Coming-soon placeholder,classes/s3-engineering/pneumatics.html,L21,"Intro ""filled... soon"" + cta soon href=""#"" + 4 ""Coming Soon"" detail sections",Review,,,,Stub topic page.,
Coming-soon placeholder,classes/s3-engineering/energy.html,L21,"Real PDF booklet present, but Key Words/Activities/Practicals/Revision all ""Coming Soon""",Keep as is,,,,Partially built; only sub-sections pending.,
Coming-soon placeholder,classes/higher/simulations.html,L185-191,"2x ""More Coming Soon"" tiles with href=""#""",Ready to change,,,,"Dead href=""#"" placeholder tiles - replace with real sims or make inert (not clickable links to #).",
