subject,page,role,engine,storage_key,hub_container,tile_badges,challenge_count,challenge_hooks,challenge_kinds,inline_script_ids,notes
electronics,classes/electronics.html,hub,electronics-progress.js,el-progress-v1,id=elProgressHub,data-el-badges x5,0,,,,real hub container + 5 per-tile badge chips
electronics,classes/electronics/theory.html,section-index,electronics-progress.js,el-progress-v1,,,0,,,,counter only; links to #elProgressHub
electronics,classes/electronics/theory/quantities-and-calculations.html,topic,electronics-progress.js,el-progress-v1,link-only,,3,data-el-challenge,elp-cloze/elp-fillin,,flagship widget record(thy-qc),
electronics,classes/electronics/theory/resistor-circuits.html,topic,electronics-progress.js,el-progress-v1,link-only,,4,data-el-challenge,elp-cloze/elp-fillin,,flagship widget record(thy-rc),most challenges of any page
electronics,classes/electronics/theory/transistor-switching-circuits.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,elp-cloze,,record(thy-ts) thr=1,
electronics,classes/electronics/theory/signals-and-capacitors.html,topic,electronics-progress.js,el-progress-v1,link-only,,3,data-el-challenge,elp-cloze/elp-fillin,,record(thy-sc),
electronics,classes/electronics/theory/components-and-devices.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,elp-cloze,,record(thy-cd),
electronics,classes/electronics/theory/logic-and-ics.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,elp-cloze,,record(thy-li) thr=1,
electronics,classes/electronics/simulation.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,,,record(sim-io) thr=1,
electronics,classes/electronics/planning.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,,,record(pln-st) thr=1,
electronics,classes/electronics/construction.html,topic,electronics-progress.js,el-progress-v1,link-only,,2,data-el-challenge,elp-cloze,,record(con-cc),
electronics,classes/electronics/testing.html,topic,electronics-progress.js,el-progress-v1,link-only,,1,data-el-challenge,,,record(tst-ff),
electronics,classes/electronics/555-astable.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
electronics,classes/electronics/stripboard-builder.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
electronics,classes/electronics/glossary.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
electronics,classes/electronics/notes.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
electronics,classes/electronics/revision.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
electronics,classes/electronics/videos.html,aux,electronics-progress.js,el-progress-v1,,,0,,,,counter only
higher-physics,classes/higher-physics.html,hub,NONE,,,,0,,,,NO progress today — Phase 2 adds #progressHub + tiles
higher-physics,classes/higher/electricity/current-pd-power-resistance.html,topic,inline (~200 lines),hp-cpr-beta-,id=ghud,,5,data-challenge=ch-*,ch-cloze/ch-graph/ch-order/ch-calc/ch-predict,ghud sticky-prog,per-page points+streak; not hub-aggregated
higher-physics,classes/higher/electricity/capacitors.html,topic,inline (~200 lines),hp-cap-beta-,id=ghud,,6,data-challenge=ch-*,ch-cloze/ch-check-cloze/ch-graph/ch-match/ch-calc/ch-predict,ghud sticky-prog,extra kinds ch-check-cloze + ch-match
higher-physics,classes/higher/electricity/electrical-sources-internal-resistance.html,topic,inline (~200 lines),hp-emf-beta-,id=ghud,,6,data-challenge=ch-*,ch-cloze/ch-check-cloze/ch-graph/ch-match/ch-calc/ch-predict,ghud sticky-prog,
higher-physics,classes/higher/electricity/monitoring-measuring-ac.html,topic,inline (~200 lines),hp-ac-beta-,id=ghud,,5,data-challenge=ch-*,ch-cloze/ch-check-cloze/ch-graph/ch-match/ch-calc,ghud sticky-prog,
higher-physics,classes/higher/electricity/semiconductors-pn-junctions.html,topic,inline (~200 lines),hp-semi-beta-,id=ghud,,5,data-challenge=ch-*,ch-cloze/ch-check-cloze/ch-graph/ch-match/ch-predict,ghud sticky-prog,
